2021-09-16 10:05:14 INFO  Starter:23 - Start with parameters: vm://brokerr, persistent false, AUTO_ACKNOWLEDGE
2021-09-16 10:05:15 INFO  Producer:29 - Producer start work
2021-09-16 10:05:16 INFO  Producer:35 - Producer finish work 591ms
2021-09-16 10:05:16 INFO  Consumer:29 - Consumer start work
2021-09-16 10:05:16 INFO  Consumer:43 - Consumer finish work 1ms
2021-09-16 10:05:16 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:06:18 INFO  Starter:23 - Start with parameters: vm://brokerr, persistent false, CLIENT_ACKNOWLEDGE
2021-09-16 10:06:18 INFO  Producer:29 - Producer start work
2021-09-16 10:06:19 INFO  Producer:35 - Producer finish work 551ms
2021-09-16 10:06:19 INFO  Consumer:29 - Consumer start work
2021-09-16 10:06:19 INFO  Consumer:43 - Consumer finish work 1ms
2021-09-16 10:06:19 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:06:35 INFO  Starter:23 - Start with parameters: vm://brokerr, persistent false, DUPS_OK_ACKNOWLEDGE
2021-09-16 10:06:36 INFO  Producer:29 - Producer start work
2021-09-16 10:06:37 INFO  Producer:35 - Producer finish work 582ms
2021-09-16 10:06:37 INFO  Consumer:29 - Consumer start work
2021-09-16 10:06:37 INFO  Consumer:43 - Consumer finish work 1ms
2021-09-16 10:06:37 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:07:02 INFO  Starter:23 - Start with parameters: vm://brokerr, persistent false, SESSION_TRANSACTED
2021-09-16 10:07:02 INFO  Producer:29 - Producer start work
2021-09-16 10:07:02 INFO  Producer:35 - Producer finish work 81ms
2021-09-16 10:07:03 INFO  Consumer:29 - Consumer start work
2021-09-16 10:07:03 INFO  Consumer:43 - Consumer finish work 1ms
2021-09-16 10:07:03 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:08:04 INFO  Starter:23 - Start with parameters: tcp://localhost:61616, persistent false, AUTO_ACKNOWLEDGE
2021-09-16 10:08:05 INFO  Producer:29 - Producer start work
2021-09-16 10:08:06 INFO  Producer:35 - Producer finish work 1083ms
2021-09-16 10:08:06 INFO  Consumer:29 - Consumer start work
2021-09-16 10:08:06 INFO  Consumer:43 - Consumer finish work 3ms
2021-09-16 10:08:06 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:08:16 INFO  Starter:23 - Start with parameters: tcp://localhost:61616, persistent false, CLIENT_ACKNOWLEDGE
2021-09-16 10:08:17 INFO  Producer:29 - Producer start work
2021-09-16 10:08:18 INFO  Producer:35 - Producer finish work 1134ms
2021-09-16 10:08:18 INFO  Consumer:29 - Consumer start work
2021-09-16 10:08:18 INFO  Consumer:43 - Consumer finish work 4ms
2021-09-16 10:08:18 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:08:26 INFO  Starter:23 - Start with parameters: tcp://localhost:61616, persistent false, DUPS_OK_ACKNOWLEDGE
2021-09-16 10:08:26 INFO  Producer:29 - Producer start work
2021-09-16 10:08:28 INFO  Producer:35 - Producer finish work 1105ms
2021-09-16 10:08:28 INFO  Consumer:29 - Consumer start work
2021-09-16 10:08:28 INFO  Consumer:43 - Consumer finish work 1ms
2021-09-16 10:08:28 INFO  Starter:33 - !!!!!!!!!!!!!!End!!!!!!!!!!!!!!
2021-09-16 10:08:37 INFO  Starter:23 - Start with parameters: tcp://localhost:61616, persistent false, SESSION_TRANSACTED
2021-09-16 10:08:37 INFO  Producer:29 - Producer start work
2021-09-16 10:08:38 INFO  Producer:35 - Producer finish work 345ms
